Date,Close/Last,Volume,Open,High,Low
04/14/2022,$46.87,521805,$48.89,$49.345,$46.78
04/13/2022,$49.24,699095,$46.99,$49.50,$46.60
04/12/2022,$46.84,666609,$47.54,$48.73,$46.08
04/11/2022,$46.79,555778,$47.50,$48.50,$46.27
04/08/2022,$48.25,627029,$49.14,$50.01,$48.20
04/07/2022,$49.01,633539,$47.89,$49.41,$47.86
04/06/2022,$48.14,601303,$47.49,$49.00,$46.84
04/05/2022,$48.40,729526,$50.48,$51.11,$48.15
04/04/2022,$50.61,710903,$49.22,$50.77,$48.42
04/01/2022,$49.20,1032427,$46.16,$50.42,$46.16
03/31/2022,$45.99,711527,$45.80,$47.11,$45.76
03/30/2022,$45.59,703170,$46.41,$48.31,$45.34
03/29/2022,$46.72,650423,$45.67,$46.96,$45.4898
03/28/2022,$44.78,569473,$44.26,$46.27,$42.9001
03/25/2022,$44.11,1247160,$45.36,$45.88,$43.435
03/24/2022,$47.11,849531,$45.99,$47.13,$45.60
03/23/2022,$45.58,528446,$47.37,$47.5299,$45.43
03/22/2022,$47.53,695919,$45.95,$48.015,$45.37
03/21/2022,$45.40,470095,$46.81,$46.88,$45.00
03/18/2022,$47.38,2023669,$47.00,$48.76,$46.865
03/17/2022,$46.69,770182,$43.37,$46.95,$43.00
03/16/2022,$43.72,711503,$41.70,$43.78,$41.25
03/15/2022,$40.72,663139,$40.37,$41.44,$39.7101
03/14/2022,$39.62,818157,$41.64,$42.94,$38.89
03/11/2022,$41.78,410854,$44.00,$44.52,$41.675
03/10/2022,$43.32,345159,$43.45,$44.32,$42.53
03/09/2022,$44.58,507083,$42.45,$44.98,$42.3063
03/08/2022,$41.33,558912,$41.74,$43.43,$40.70
03/07/2022,$41.98,527324,$42.81,$43.60,$41.80
03/04/2022,$42.92,408946,$42.96,$44.48,$42.57
03/03/2022,$43.62,780755,$45.80,$46.805,$43.02
03/02/2022,$45.54,586457,$44.60,$45.88,$43.695
03/01/2022,$44.31,719830,$43.87,$45.58,$43.36
02/28/2022,$44.00,799086,$43.64,$45.75,$42.64
02/25/2022,$43.99,632431,$44.02,$44.445,$42.70
02/24/2022,$43.72,1211878,$39.67,$43.78,$39.42
02/23/2022,$41.53,916443,$43.44,$43.97,$41.50
02/22/2022,$43.12,725908,$43.78,$45.21,$43.06
02/18/2022,$44.25,844393,$45.14,$46.09,$43.96
02/17/2022,$45.18,1087081,$48.246,$48.85,$44.79
02/16/2022,$49.27,543052,$50.04,$50.04,$48.08
02/15/2022,$50.22,560512,$50.60,$51.31,$49.81
02/14/2022,$49.80,476653,$50.69,$51.75,$49.585
02/11/2022,$50.65,868800,$53.433,$54.12,$50.45
02/10/2022,$53.22,687001,$52.54,$56.25,$52.22
02/09/2022,$54.66,556761,$53.02,$54.71,$53.02
02/08/2022,$52.14,580943,$51.57,$52.76,$50.6826
02/07/2022,$52.10,943221,$49.68,$52.85,$49.62
02/04/2022,$49.75,697724,$49.20,$50.89,$48.89
02/03/2022,$48.99,1128422,$48.326,$50.44,$47.50
02/02/2022,$52.63,606326,$54.92,$55.0576,$51.99
02/01/2022,$55.10,654788,$53.15,$55.47,$51.53
01/31/2022,$52.76,1048040,$48.24,$52.81,$47.80
01/28/2022,$50.09,729853,$48.60,$50.10,$46.6801
01/27/2022,$48.20,585811,$51.20,$51.56,$48.07
01/26/2022,$50.53,843513,$52.07,$54.38,$50.26
01/25/2022,$50.99,667627,$51.74,$52.52,$49.34
01/24/2022,$52.79,1130596,$49.31,$53.32,$47.2919
01/21/2022,$50.84,766431,$51.62,$53.49,$50.82
01/20/2022,$52.51,884255,$54.30,$55.59,$52.35
01/19/2022,$53.79,596548,$55.64,$56.00,$53.64
01/18/2022,$54.13,588221,$56.39,$56.4699,$54.02
01/14/2022,$57.81,593920,$56.85,$58.96,$55.2777
01/13/2022,$57.58,510516,$58.39,$58.94,$57.3301
01/12/2022,$58.22,597555,$60.54,$61.2484,$58.16
01/11/2022,$60.22,560964,$59.62,$60.69,$58.12
01/10/2022,$59.53,539846,$58.22,$59.68,$57.05
01/07/2022,$58.95,560761,$60.48,$62.25,$58.79
01/06/2022,$60.90,608538,$60.28,$62.09,$58.03
01/05/2022,$60.18,1068739,$64.35,$65.64,$59.945
01/04/2022,$65.04,867696,$68.61,$69.83,$64.245
01/03/2022,$69.97,674385,$66.25,$70.09,$63.72
12/31/2021,$66.30,476352,$67.05,$68.94,$65.51
12/30/2021,$67.35,463044,$67.50,$69.23,$66.83
12/29/2021,$66.77,340228,$66.10,$67.00,$65.12
12/28/2021,$66.06,349577,$66.50,$68.50,$65.94
12/27/2021,$66.30,621865,$70.01,$70.24,$66.14
12/23/2021,$70.25,515939,$70.00,$71.00,$69.07
12/22/2021,$69.82,432639,$70.00,$70.15,$68.26
12/21/2021,$70.10,424763,$71.00,$71.15,$69.29
12/20/2021,$70.53,714938,$68.91,$71.10,$67.83
12/17/2021,$69.66,1648104,$65.01,$70.14,$65.01
12/16/2021,$65.16,1062303,$70.66,$70.70,$65.01
12/15/2021,$70.35,750124,$67.98,$70.39,$65.64
12/14/2021,$68.45,611070,$69.54,$71.43,$67.41
12/13/2021,$71.48,596053,$70.29,$72.83,$69.50
12/10/2021,$70.07,514991,$70.594,$73.03,$69.28
12/09/2021,$70.83,507885,$73.27,$74.50,$70.74
12/08/2021,$73.96,660840,$72.32,$74.77,$71.05
12/07/2021,$71.67,796630,$67.63,$72.82,$67.34
12/06/2021,$65.83,775070,$67.26,$67.50,$63.45
12/03/2021,$67.50,715654,$70.17,$70.4087,$66.77
12/02/2021,$69.69,547035,$67.42,$69.85,$66.54
12/01/2021,$67.00,699990,$70.65,$71.45,$66.94
11/30/2021,$70.05,830040,$70.99,$72.95,$67.20
11/29/2021,$71.17,580322,$73.57,$74.32,$70.71
11/26/2021,$72.02,650640,$72.39,$73.68,$69.70
11/24/2021,$74.04,590642,$70.36,$74.70,$68.90
11/23/2021,$70.89,985557,$68.00,$70.98,$66.09
11/22/2021,$69.28,782521,$73.00,$73.23,$69.00
11/19/2021,$71.11,786694,$70.31,$71.45,$68.54
11/18/2021,$70.75,1877943,$68.90,$72.00,$68.00
11/17/2021,$63.74,490893,$63.68,$64.67,$63.11
11/16/2021,$63.93,752737,$65.72,$67.33,$63.7271
11/15/2021,$65.90,1389879,$73.38,$74.01,$65.54
11/12/2021,$73.94,537372,$76.50,$76.9176,$72.32
11/11/2021,$75.78,393728,$77.45,$78.18,$75.47
11/10/2021,$76.60,610970,$81.16,$82.325,$76.07
11/09/2021,$81.02,476150,$83.00,$84.83,$80.65
11/08/2021,$82.51,443627,$81.83,$83.88,$81.465
11/05/2021,$80.73,701118,$81.85,$83.22,$79.645
11/04/2021,$81.55,578079,$80.025,$82.07,$77.06
11/03/2021,$80.43,1059544,$77.1509,$81.36,$76.5001
11/02/2021,$75.90,602046,$70.99,$75.97,$70.01
11/01/2021,$70.99,755146,$63.97,$71.01,$63.61
10/29/2021,$63.82,459434,$64.77,$65.37,$63.35
10/28/2021,$65.40,379971,$64.51,$65.56,$63.68
10/27/2021,$64.49,268545,$66.25,$66.4286,$64.47
10/26/2021,$66.09,512875,$66.43,$67.28,$65.32
10/25/2021,$65.85,492571,$65.78,$66.84,$65.03
10/22/2021,$66.03,396238,$66.91,$66.91,$64.9012
10/21/2021,$66.89,229541,$66.90,$67.7037,$66.65
10/20/2021,$66.75,289282,$66.81,$67.04,$65.58
10/19/2021,$67.07,272205,$66.73,$67.61,$66.18
10/18/2021,$66.14,304985,$65.92,$66.41,$65.38
10/15/2021,$66.16,559858,$67.83,$67.94,$65.41
10/14/2021,$66.83,540091,$63.99,$66.92,$63.909
10/13/2021,$63.37,369776,$63.40,$64.50,$62.36
10/12/2021,$63.27,533264,$60.48,$63.44,$59.77
10/11/2021,$60.10,347952,$59.83,$60.9105,$59.12
10/08/2021,$60.33,708788,$59.23,$60.5999,$58.7346
10/07/2021,$58.98,454415,$58.50,$60.50,$58.32
10/06/2021,$58.09,603287,$59.41,$60.32,$57.94
10/05/2021,$60.05,509992,$61.84,$62.40,$59.75
10/04/2021,$61.71,415721,$62.25,$62.255,$60.80
10/01/2021,$62.60,456871,$62.28,$62.98,$60.41
09/30/2021,$62.43,547970,$61.38,$63.55,$61.02
09/29/2021,$60.63,473874,$60.37,$61.89,$60.22
09/28/2021,$60.65,647666,$64.91,$64.91,$60.4501
